rule,observed,decision
D1:browsecomp,pass_rate=0.6833 aa_delta=10.00 clusters_with_two=0,excluded
D1:hle,pass_rate=0.4844 aa_delta=9.38 clusters_with_two=0,excluded
D1:gdpval,pass_rate=0.8466 aa_delta=7.14 clusters_with_two=1,excluded
D1:claw_eval,pass_rate=0.8214 aa_delta=3.57 clusters_with_two=6,enters E2
D2:browsecomp,primary_clusters=0,0 primary; rest secondary
D2:hle,primary_clusters=0,0 primary; rest secondary
D2:gdpval,primary_clusters=1,1 primary; rest secondary
D2:claw_eval,primary_clusters=6,6 primary; rest secondary
D3:browsecomp,aa_delta=10.00 widest_other=7.14,descriptive only
D3:hle,aa_delta=9.38 widest_other=7.14,descriptive only
D1prime,primary_clusters_in_included_sources=6 (min 8); included=['claw_eval'],pivot required: (i) policy reasoning_effort low (deviation stated) or (ii) build M2b web freeze and re-admit browsecomp
D4,projected_usd(k=3)=10.79 budget=600.0,k=3
D5:browsecomp,no held-out A/A,not evaluable
D5:hle,no held-out A/A,not evaluable
D5:gdpval,heldout_delta=6.67,45/source
D5:claw_eval,heldout_delta=3.33,30/source
D6,text_self_consistency=0.9855 (Flash re-judge replaced by P1),single judge
D7,vision_self_consistency=1.0000 text_vs_vision_disagreement=0.0625 compared=256,gdpval E2 primary judge = text (deepseek-v4-pro); vision reported as secondary
D8:claw_eval,N=8 k=3 passes=1 MDE=6.75 points cost=515.48 USD (delta_meaningful=3.0),no configuration within owner_budget_usd reaches delta_meaningful: best available within the budget; the paper states the exclusion bound 6.75 points
D8:gdpval,N=7 k=3 passes=1 MDE=7.50 points cost=597.70 USD (delta_meaningful=3.0),no configuration within owner_budget_usd reaches delta_meaningful: best available within the budget; the paper states the exclusion bound 7.50 points
COH-WRONG:claw_eval,parity ok,arm admitted
COH-WRONG:gdpval,parity ok,arm admitted
