source,run_id,cluster_id,tier,candidate_set_size,old_decoy,old_decoy_in_candidate_set,new_decoy,new_feasibility,lost
gdpval,e0b-b1-gdpval-p1,c4eb201a7,near,3,entry,0,entry,feasible,0
gdpval,e0b-b1-gdpval-p1,c411077d9,near,3,entry,0,entry,feasible,0
gdpval,e0b-b1-gdpval-p1,c4eb201a7,far,3,tool_shell,0,context_window,feasible,0
gdpval,e0b-b1-gdpval-p1,c411077d9,far,3,task_prompt,0,tool_finish,feasible,0
gdpval,e0b-b1-gdpval-p2,c2ee8e414,near,4,completion_policy,0,completion_policy,feasible,0
gdpval,e0b-b1-gdpval-p2,c2ee8e414,far,4,tool_registry,0,verifier,feasible,0
claw_eval,e0b-b1-claw_eval-p1,cd68528c8,near,3,tool_finish,0,tool_finish,feasible,0
claw_eval,e0b-b1-claw_eval-p1,c9e506aa7,near,3,observation_shaping,0,system_prompt,feasible,0
claw_eval,e0b-b1-claw_eval-p1,cf64847a8,near,2,task_prompt,0,task_prompt,feasible,0
claw_eval,e0b-b1-claw_eval-p1,cbaae181b,near,3,tool_finish,0,tool_finish,feasible,0
claw_eval,e0b-b1-claw_eval-p1,c55de9dc2,near,1,task_prompt,0,task_prompt,feasible,0
claw_eval,e0b-b1-claw_eval-p1,c734034d9,near,4,wiring,0,wiring,feasible,0
claw_eval,e0b-b1-claw_eval-p1,cc4127fa6,near,4,task_prompt,1,observation_shaping,feasible,0
claw_eval,e0b-b1-claw_eval-p1,c995dcc1b,near,3,tool_finish,0,tool_finish,feasible,0
claw_eval,e0b-b1-claw_eval-p1,cedff9e5f,near,2,loop,0,loop,feasible,0
claw_eval,e0b-b1-claw_eval-p1,c8ce3b49b,near,4,wiring,0,wiring,feasible,0
claw_eval,e0b-b1-claw_eval-p1,c27348614,near,3,tool_registry,0,tool_registry,feasible,0
claw_eval,e0b-b1-claw_eval-p1,cd68528c8,far,3,model_client,0,observation_shaping,feasible,0
claw_eval,e0b-b1-claw_eval-p1,c9e506aa7,far,3,tool_finish,0,tool_finish,feasible,0
claw_eval,e0b-b1-claw_eval-p1,cf64847a8,far,2,loop,0,loop,feasible,0
claw_eval,e0b-b1-claw_eval-p1,cbaae181b,far,3,middleware,0,model_client,feasible,0
claw_eval,e0b-b1-claw_eval-p1,c55de9dc2,far,1,planner,0,planner,feasible,0
claw_eval,e0b-b1-claw_eval-p1,c734034d9,far,4,model_client,0,observation_shaping,feasible,0
claw_eval,e0b-b1-claw_eval-p1,cc4127fa6,far,4,error_handling,0,error_handling,feasible,0
claw_eval,e0b-b1-claw_eval-p1,c995dcc1b,far,3,wiring,0,verifier,feasible,0
claw_eval,e0b-b1-claw_eval-p1,cedff9e5f,far,2,budget,0,budget,feasible,0
claw_eval,e0b-b1-claw_eval-p1,c8ce3b49b,far,4,task_prompt,1,tool_router,feasible,0
claw_eval,e0b-b1-claw_eval-p1,c27348614,far,3,task_prompt,1,verifier,feasible,0
claw_eval,e0b-b1-claw_eval-p2,cdbc503bb,near,3,tool_registry,0,tool_registry,feasible,0
claw_eval,e0b-b1-claw_eval-p2,cbafea507,near,3,task_prompt,0,task_prompt,feasible,0
claw_eval,e0b-b1-claw_eval-p2,c683227e7,near,3,loop,0,loop,feasible,0
claw_eval,e0b-b1-claw_eval-p2,c487c05a7,near,3,completion_policy,0,completion_policy,feasible,0
claw_eval,e0b-b1-claw_eval-p2,ce078740c,near,3,tool_registry,0,tool_registry,feasible,0
claw_eval,e0b-b1-claw_eval-p2,c34bd8091,near,4,observation_shaping,0,observation_shaping,feasible,0
claw_eval,e0b-b1-claw_eval-p2,cf73dd5b4,near,4,task_prompt,1,observation_shaping,feasible,0
claw_eval,e0b-b1-claw_eval-p2,c16ae51b7,near,3,tool_registry,0,tool_registry,feasible,0
claw_eval,e0b-b1-claw_eval-p2,cdbc503bb,far,3,loop,0,middleware,feasible,0
claw_eval,e0b-b1-claw_eval-p2,cbafea507,far,3,completion_policy,0,completion_policy,feasible,0
claw_eval,e0b-b1-claw_eval-p2,c683227e7,far,3,budget,0,budget,feasible,0
claw_eval,e0b-b1-claw_eval-p2,c487c05a7,far,3,tool_finish,0,tool_router,feasible,0
claw_eval,e0b-b1-claw_eval-p2,ce078740c,far,3,model_client,0,observation_shaping,feasible,0
claw_eval,e0b-b1-claw_eval-p2,c34bd8091,far,4,middleware,0,middleware,feasible,0
claw_eval,e0b-b1-claw_eval-p2,cf73dd5b4,far,4,entry,0,entry,feasible,0
claw_eval,e0b-b1-claw_eval-p2,c16ae51b7,far,3,verifier,0,observation_shaping,feasible,0
