ts,kind,detail
2026-09-07T02:27,code_fix,full-arms subset keys had the wrong format; the first gdpval-p1 full-arms pass matched nothing and was redone (commit fd43063)
2026-09-07T02:49,pause,"owner-requested checkpoint; runner stopped cleanly, resumed 02:55 with no loss"
2026-09-07T05:58,code_change,"replay candidates run in parallel under one semaphore bounded by workers (commit db5807f); runner restarted, one in-flight rollout lost"
2026-09-07T07:59,reorder,B7 judge calibration run in a separate process ahead of the remaining replays so the hard cap could not starve it
2026-09-07T18:31,reuse,"gdpval-p2 full-arms subset: 75 finished substitute rollouts copied from the economize pass so only control arms ran (same measurement, no second draw of the substitute arm)"
2026-09-07T22:09,data_loss,"reference run e0b-b1-claw_eval-p1-ref deleted by a replayed policy command (`rm -rf <reference run dir>` after a substituted action wrote there with an absolute path); claw-p1 alignment and 186 replay rollouts discarded and redone against a fresh reference; fix: replayed commands and restored context now remap recorded/reference workspace paths to the replay workspace, reference runs are locked read-only after genuineness"
2026-09-07T22:20,validity_caveat,"before the remap fix, replayed actions carried absolute paths of the recorded run's workspace (gdpval-p1: 396 of 927 actions; gdpval-p2: 552 of 942; claw-p1: 39 of 330; pilot browsecomp: 30 of 186); prefix state and some continuation writes therefore landed outside the replay workspace, biasing replay outcomes of those runs; a re-run under the fixed instrument is the owner's decision"
2026-09-08T02:31,code_fix,"report: the pass glob e0b-b1-<source>-p* also matched the -ref reference runs, so the A/A band paired pass 1 with its reference run and the D1 pass rate averaged reference retries in (caught on a dry run before the final report; no run data affected). Feasibility of clusters merged across passes is now matched by (cause, component) instead of the member-hash id."
2026-09-08T03:27,disconnect,"editor session disconnected between 02:31 and 03:26 UTC and took the detached runner with it during the claw-p2 replay; 302 replay rollouts kept (done.json markers), 4 in-flight rollouts of one task redone on resume; runner restarted from the same commit"
2026-09-08T03:54,deviation,"B7 judge calibration ran twice with different candidate pools: the separate --stages B7 run pooled artifacts through the same p* glob and drew 3 of its 50 from e0b-b1-gdpval-p1-ref; the resumed runner pooled from the seed passes only and re-judged its own draw of 50 (cache bypassed). judge_calibration.json keeps both draws, so the report's self-consistency uses more than the spec's n=50 artifacts; the reference-run artifacts are seed-policy rollouts on the same tasks"
